Page,Text,Label
Balita,"Nagtalaga na ng bagong acting president at chief executive officer (CEO) ng Philippine Health Insurance Corporation (PhilHealth) si Pangulong Ferdinand Marcos, Jr.. Sa anunsyo ng Malacañang nitong Huwebes, ipinuwesto ni Marcos sa nasabing ahensya si Emmanuel Rufino Ledesma, Jr.. Si Ledesma ay pinanumpa na ni Executive Secretary Lucas Bersamin sa kanyang tungkulin. Naging miyembro rin ng expert panel at board of directors ng PhilHealth si Ledesma. Dati ring naging presidente at CEO ng Power Sector Assets and Liabilities Management (PSALM) Corporation si Ledesma.",0
Balita,"Sa paglaganap ng text scam, nagbabala si Senador Win Gatchalian sa mga indibidwal o grupo na nagpapadala ng mga text scam at phishing messages na malapit ng matapos ang kanilang maliligayang araw dahil minamadali na ang implementing rules and regulations (IRR) ng Subscriber Identity Module (SIM) Registration Law bago tuluyang maipatupad ang batas. “Napansin namin na patuloy ang paglaganap ng mga scam at phishing messages kahit na naipasa na ang batas. Pero umaasa tayong mababawasan na ang bilang ng mga kawatan habang papalapit na ang pagpapatupad ng batas na magsisimula sa Disyembre 27,” ani Gatchalian nitong Huwebes, Nobyembre 24. Magsasagawa ng pagdinig ang National Telecommunications Commission (NTC) sa Disyembre 5 kasama ang mga telecommunications provider para isapinal ang IRR na kilala rin bilang Republic Act No. 11934. Nakasaad sa batas na ang mga SIM card ay naka-deactivate kapag ibinebenta at maaari lamang i-activate kapag nakarehistro na. Ang pagpaparehistro ng SIM card ay kailangan magpakita ng valid id. Ang sinumang magparehistro ng SIM card gamit ang mali o kathang-isip na impormasyon, at kathang-isip na pagkakakilanlan ay sasailalim sa naaangkop na mga parusa. “Matagal nang panahon na nagdudulot ng panganib at pangamba ang mga scam at phishing text messages na ito sa maraming telco subscribers sa bansa. Panahon na para matuldukan ang ganitong mga gawain, mabigyan ng maayos na seguridad ang mga telco subscribers, at panagutin ang mga kawatan,” ani Gatchalian.",0
Balita,"Umapela sa gobyerno ang grupong Confederation for Unity, Recognition and Advancement of Government Employees (Courage) na gawing ₱33,000 ang minimum wage sa bansa. Sa isang television interview, binanggit ni Courage President Santiago Dasmariñas, masyado umanong maliit ang kanilang sinusuweldo dahil na rin mataas na presyo ng mga bilihin at serbisyo sa bansa. Sa pag-aaral aniya ng non-government organization na IBON Foundation, aabot na dapat sa ₱1,119 kada araw ang family living wage para sa pamilya na may limang miyembro. Gayunman, sinabi nito na ang kalkulasyon ay isinagawa nitong Setyembre na mas mabagal pa ang inflation o pagtaas ng presyo ng bilihin at serbisyo. “Noong nakaraang buwan, umabot na ng 7.7 percent ang inflation rate samantalang ‘yung sweldo ng mga kawani ng gobyerno, lalung-lalo ng nasa mababang posisyon, ay mababa pa rin. Kaya po ang aming panawagan: Across the bureaucracy, dapat pantay-pantay lahat,” giit nito. Aniya, nasa ₱12,517 ang sahod ng nasa pinakamababang puwesto sa gobyerno.",0
Balita,"Nagtatago pa rin umano si National Bilibid Prison (NBP) Supt. Ricardo Zulueta na isa sa itinuturong mastermind sa pagpatay sa mamamahayag na si Percival “Percy Lapid” Mabasa at sa umano’y “middleman” na si Cristito Villamor. Ito ang sinabi nito Department of Justice (DOJ) Secretary Jesus Crispin Remulla nitong Huwebes kaya inatasan na nito ang National Bureau of Investigation (NBI) na makipag-ugnayan sa pamilya ni Zulueta upang matunton na ito. Si Zulueta ay hindi sumipot sa isinagawang preliminary hearing ng DOJ nitong Nobyembre 23, kaugnay sa kinakaharap na dalawang kasong murder sa pagkakapaslang kina Lapid at Villamor. Binibigyan pa si Zulueta ng isa pang pagkakataon na maghain ng counter-affidavit sa itinakdang pagdinig ng kaso sa Disyembre 5. Inaasahan ding magsusumite ng counter-affidavit ang kampo ni Bantag sa nasabi ring petsa. Kasama ni Zulueta sa kinasuhan si suspended Bureau of Corrections (BuCor) chief Gerald Bantag at iba pang preso sa NBP. Naiulat na nag-AWOL (Absent Without Official Leave) si Zulueta ilang araw matapos mapaslang si Lapid at Villamor. Matatandaang ilang araw matapos mapatay si Lapid ay sumuko si self-confessed gunman Joel Escorial at sinabing si Villamor ang nag-utos sa kanyang grupo upang patayin ang mamamahayag. Gayunman, namatay si Villamor apat na oras matapos iharap sa publiko si Escorial nitong Oktubre 18. Sinabi rin ni Escorial na bago namatay si Villamor ay binanggit sa kanya na si Bantag ang nagpapatay umano kay Lapid. Si Lapid ay pinagbabaril at napatay habang sakay ng kanyang kotse, malapit sa BF Resort Village, Las Piñas nitong Oktubre 3 ng gabi.",0
Balita,"Mahigpit ang kautusan ni Manila Mayor Honey Lacuna sa Manila Police District (MPD) na tugisin at panagutin sa batas ang mga source ng illegal na droga, paigtingin ang police visibility at tutukan ang mga rape cases sa lungsod. Ayon kay Lacuna, mahalaga para sa kanya ang peace and order situation sa lungsod upang matiyak ang kaligtasan ng mga mamamayan. “Napakahalaga po sa akin ng peace and order. Siguro iniisip nila pag babae, di naka-focus ang peace and order. May areas na dapat tutukan, of course, andiyan pa din ang problema sa droga,” pahayag pa ni Lacuna, sa idinaos na Balitaan sa Harbor View ng Manila City Hall Reporters’ Association (MACHRA). Bagamat natutuwa ang alkalde na nahuhuli ang mga drug users, hinikayat rin niya ang MPD sa ilalim ng pamumuno ni PBGEN Andre Dizon na tugisin ang mismong mga pinagmumulan o source ng mga ilegal na droga sa Maynila. “Okay na nakakahuli tayo ng drug users at nakakalungkot na kung sino ang walang kakayanan, siyang nagamit. But we have to go after the source kasi kung ito lang mga users ang matututukan, maliit lang.  Pag nakuha ang source, mas madali mawawala ang mga gumagamit,” anang alkalde. Dagdag pa ng alkalde, “ang mga krimeng di katanggap-tanggap lalo na para sa ‘kin, tulad ng mga insidente ng panggagahasa, lalo na kung ang biktima ay menor de edad, ito ay dahil na rin sa may standing order na siya na bigyan ng espesyal na atensyon ang mga  rape cases sa kabisera ng bansa. Binigyan din ng alkalde ng espisipikong bilin si Dizon na bigyan ng importansiya ang pagpapaigting ng police visibility sa mga crime-prone areas kabilang na ang university belt area. “Di lang ‘yung nakatayo o steady na nakikita ang pulis kundi dapat kumikilos, laging naglilibot. Pinatututukan natin ang university belt. Kahilingan ng schools na kung pwede, during time ng pagpasok at paglabas ay may nakaantabay na pulis,” pahayag pa ni Lacuna. Sa kabuuan, nagpahayag naman ng kasiyahan si Lacuna sa  performance ng MPD lalo na sa ginawang hakbang nito sa paglalagay ng mga tarpaulins sa mga espesipikong lugar kung saan makikita at mababasa ng mamamayan kung saan sila hihingi ng  police assistance kung kinakailangan. Umaasa din ang alkalde na maglalagay ang kapulisan ng police desks sa mga eskwelahan. “In general, maayos at maganda ang performance ng kapulisan sa lungsod ng Maynila dahil sa pinaigting na police visibility dahil na din sa habilin ni NCRPO Chief BGen. Jonnel Estomo na habang natutulog ang mga tao, dapat sila ay gising,” dagdag pa ng alkalde.",0
Balita,"Nasa anim na miyembro ng New People’s Army (NPA) ang napatay matapos makasagupa ng tropa ng gobyerno sa Las Navas, Northern Samar nitong Miyerkules. Sa pahayag ng 803rd Infantry Brigade (IB) ng Philippine Army na naka-base sa Camp Sumoroy, Dalakit, Catarman, Northern Samar, hindi pa nakikilala ang anim na napatay na pinaniniwalaang miyembro ng Eastern Visayas Regional Party Committee ng Communist Party of the Philippines (CPP)-NPA. Nagsasagawa ng operasyon ang nasabing military unit sa Barangay Imelda, Las Navas nang makasagupa ng mga ito ang grupo ng mga rebelde. Matapos ang sagupaan, anim na bangkay ng mga rebelde ang narekober sa lugar at narekober din ng militar ang 18 na iba’t ibang uri ng baril. Paniwala naman ni 803rd IB commander, Col. Perfecto Peñaredondo, ang nasabing grupo ang sumalakay sa mga sundalo at pulis na nagsasagawa lamang ng community support program immersion sa Brgy. Dornillo, Jipapad, Eastern Samar nitong Oktubre 7 na ikinasawi ng dalawang sundalo. Tinutugis pa rin ng tropa ng gobyerno ang iba pang miyembro ng rebelde na nasa likod ng nasabing pag-atake.",0
Balita,"Ipinasa ng Kamara sa ikalawang pagbasa ang House Bill 6069 o ang “Philippine Indigenous and Traditional Writing Systems Act” noong Martes, Nobyembre 22. Isinulong ng TINGOG Partylist representative na sina Yedda Romualdez at Jude Acidre upang pangalagaan at buhayin ang indigenous at traditional writing systems ng Pilipinas kung saan kasama ito sa kultura at kasaysayan ng bansa. Kapag ito ay naging ganap na batas, ang National Commission for Culture and the Arts (NCCA) ang aaksyon bilang pangunahing ahensiya na maghahayag ng mga patakaran sa promosyon ng ganitong writing systems. Bukod dito, ang NCCA ay inaatasang makipag-ugnayan sa Komisyon ng Wikang Filipino (KWF) para sa kaukulang ayudang-teknikal hinggil sa development ng mga lengguwahe sa Pilipinas at pagsusulat. ",0
Balita,"Tiniyak ng Department of Social Welfare and Development (DSWD) na isasapubliko nito ang updated na listahan ng mga benepisyaryo ng Pantawid, Pamilyang Pilipino Program (4Ps) sa Enero 2023. Binanggit ng Office of the Press Secretary (OPS) na sa pagdinig ng Commission on Appointments (CA) sa ad interim appointment ni DSWD Secretary Erwin Tulfo, ibinahagi ng kalihim na batay sa bagong listahanan ng survey na isinagawa ng ahensya, nasa 500,000 na benepisyaryo ngayon ng 4Ps ang maaari nang palitan. Sinabi ng kalihim na plano nilang i-distribute sa iba’t ibang sektor, gaya ng persons with disabilities (PWDs), solo parent, mga magsasaka, at mangingisda ang mga open slot para maging 4Ps beneficiaries. Nasa ₱107.6 bilyon ang pondong nakalaan para sa 4Ps ngayong taon, ayon sa kalihim. Sa ilalim ng panukalang 2023 National budget, tinaasan sa higit ₱115 bilyon ang budget ng ahensya. Idinagdag pa ng DSWD na nasa 4.4 milyon pa rin ang benepisyaryo ng 4Ps sa susunod na taon.",0
Balita,"Itinalaga ng Partido Federal ng Pilipinas (PFP) special Assistant to the President Secretary Anton Lagdameo bilang bagong executive vice president ng partido. Ito ay matapos ng partido ni Pangulong Ferdinand “Bongbong” Marcos Jr. sa kanilang hanay si dating Executive Secretary Atty. Vic Rodriguez. Sa isang pahayag ng Partido Federal ng Pilipinas (PFP), Si Rodriguez ay tinanggal bilang miyembro ng partido sa isang desisyon na may petsang Nobyembre 11. Matapang na sinabi ng partido na pinatalksik nila si Rodriguez dahil sa “incompetence” nito bilang public servant. “Rodriguez was expelled from the PFP for his incompetence as a public servant, conduct inimical to the interests of the party, abuse and breach of trust and confidence reposed on him by the President and the party, abandonment and disloyalty,” pahayag ng PFP. “The decision found that no single original PFP official, coming from the party of the President, was recommended by Rodriguez to be appointed to any position in this administration, notwithstanding that he is the Executive Secretary or “Little President” thru whom all appointments pass thru. Hence, the party found no useful purpose to maintain its association with respondent,” dagdag pa ng partido. Sinabi ng partido na hindi nakibahagi si PBBM sa desisyon na patalsikin si Rodriguez, ngunit ipinaalam na walang pagtutol ang pangulo sa desisyon. Samantala, naniniwala si Rodriguez na ang kanyang katapatan sa PFP ay nagtatapos kung saan nagsisimula ang interes ng 31.6 milyong Pilipino na naniwala kay Marcos noong kampanya. “I could not, in conscience, during my time as executive secretary, let a non-qualified applicant be appointed to the administration of PBBM simply because he or she is a member of PFP,” pahayag ni Rodriguez.",0
Balita,"Isang executive order ang inilabas ng lokal na pamahalaan ng Cotabato City na nagpapatupad ng isang localized lockdown sa dalawang baryo matapos ang tatlong insidente ng pamamaril na ikinamatay ng hindi bababa sa tatlong tao noong Nob 21. Sa inilabas na EO no. 30 ng Cotabato local government, simula Nob 22 ng gabi, ipapatupad ang localized lockdown Purok Talitay at Pag-asa ng Barangay Rosary Heights 7 at Purok Masagana at sa perimeter ng Fiesta Mall at Barangay Rosary Heights 10 dahil sa intelligence reports na natanggap ng City Peace and Order Council (CPOC) patungkol sa security threats at sightings ng mga armadong indibidwal sa lungsod. Isasailalim sa lockdown ang mga nabanggit na lugar simula 8 p.m. hanggang 4 a.m. simula Martes. Ipinagbabawal nito ang sinumang indibidwal na pumasok o lumabas sa mga partikular na lugar sa loob ng mga nayon. “Layunin ng Executive Order na tiyakin ang kaligtasan ng publiko sa gitna ng mga banta sa seguridad sa mga concered na lugar,” nakasaad sa inilabas na EO. Para lalo pang paigtingin ang mga hakbang sa seguridad, maglalagay ng 24-hour outposts at random checkpoints sa lungsod. Kasalukuyan pa ring inaalam ng awtoridad ang motibo ng pamamaril.",0
