Page,Text,Label
Manila Bulletin,"President Ferdinand “Bongbong” Marcos Jr. believes that science plays a large part when it comes to the new solutions in the new normal, emphasizing the role of innovation, being able to adjust properly to new ideas, and systems, with science becoming the lifeblood of survival in the coming years. Marcos shared on Wednesday, Nov. 23 that the DOST has the full commitment of his administration to all the research and development (R&D) programs and services of the Department of Science and Technology (DOST) during the opening of the 2022 National Science and Technology Week (NSTW) celebration at the World Trade Center in Pasay City. He underscored in his keynote message the importance of harnessing the country’s existing resources and capabilities through various science-based and related efforts and initiatives to provide inclusive development in the countryside as well as career and livelihood opportunities for every Filipino. “I assure you the full support of my administration to research institutions and emphasized the need for the government to provide direction in determining the necessary R&D needed for the country’s economic transformation, especially acknowledging collaboration between DOST and DTI to help startups and MSMEs,” said President Marcos Jr. He also stressed that the government has the responsibility to give direction so that the output of our R&D is immediately used by our farmers, businessmen, and citizens. Meanwhile, he also said that there is a need to improve science, technology, engineering, and mathematics or STEM subjects in the country. The President added that the material is available, it is just a matter of incorporating it into our curricula. “We should give it (STEM) an emphasis because every aspect, STEM subjects have become important,” President Marcos Jr. said. Lastly, he acknowledged the efforts and commitment of DOST and its attached agencies for implementing programs that create solutions to address the country’s problems in food security and climate change adaptation, among others. The 2022 NSTW celebration returned at the World Trade Center this year to showcase the latest innovative R&D products and services developed by DOST and its partners from the academe and non-government and private organizations. Carrying the theme “Agham at Teknolohiya: Kabalikat sa Maunlad at Matatag na Kinabukasan, this year’s S&T festivity showcases all the R&D outputs as well as innovative products and services developed and offered by DOST agencies and regional offices that helped address the challenges brought about by the pandemic and climate change. Exhibits of the latest technological innovations can be viewed on-site while forums, webinars, and virtual talks are broadcast online so that more people can attend and participate. Furthermore, there will be technologies to be bannered that will help the people and the country bounce back better from the pandemic. In addition, there will be techno-products and activities that will provide a better angle on DOST innovations that respond to the pressing needs of various sectors and stakeholders towards the goal of attaining inclusive growth in the various areas: agriculture and food security, health, job creation, education, energy, transportation, blue and green economy, and environmental protection.",0
Manila Bulletin,"A New People’s Army member who has pending warrant of arrest for a couple of charges escaped from the arresting cops on Wednesday night, Nov. 23, while warrant was being served at his house at Sitio Patahan, Barangay San Buenaventura in this town. The target suspect of the 2nd Laguna Provincial Mobile Forces (2nd LPMFC) was Janice Javier alias ‘Salma,’ a former member of the Kabataang Makabayan and of Main Guerilla Unit (MRGU) platoon Laguna-Quezon. She has been accused of murder and attempted murder. Javier, along with two companions, managed to escape upon getting a hint from dogs barking on approaching authorities. The police operatives launched a major combat operation to serve the warrant of arrest against Javier around 7 p.m. but upon approaching the hut, where she was staying, the dog barked and caught the attention of Javier’s group, which hurriedly ran away toward a forested area. The police tried to pursue Javier and her two companions — a man and a woman – but failed. The search and clearing were conducted in the rebels’ hut and found three rough improvised explosive devices, black pipes, three detonating cords, three blasting caps, a square box wrapped in packaging tape, three backpacks with personal belongings, a pack of rice, and canned goods.",0
Manila Bulletin,"Malacañang announced that President Marcos has led the approval of the P11.2-billion Philippine Fisheries and Coastal Resiliency (FishCoRe) Project aimed at addressing the problems in the fishery sector, reducing poverty incidence, and ensuring food security. ",0
Manila Bulletin,"Fisherfolk organizations staged a peaceful rally from the Boy Scout Circle in Quezon City to Liwasang Bonifacio, Lawton, and Ermita, Manila on Thursday, Nov. 24, urging President Marcos to take action and assert the Philippines’ sovereignty in the West Philippine Sea (WPS). Around 20 members of Nagkakaisang Mangingisda Laban sa Gutom at Pananakop, Atin Ang Pilipinas coalition: West Philippine Sea Advocates and fishermen from Masinloc, Zambales, and Navotas City staged the peaceful rally in several venues. According to Jonas Conde, 49, Masinloc fisherfolk have experienced harassment while sailing on Scarborough Shoal, West Philippine Sea. He said most of their fishing haul was confiscated and replaced with instant noodles and packs of cigarettes. “Message po ito para sa mahal naming Pangulo Ferdinand ‘Bongbong’ Marcos Jr., sa mga kasamahan namin mangingisda ng Masinloc Zambales, gutom at walang mahuling isda sa ating dagat ng West Philippine Sea. Sa tuwing kami ay pumapalaot, marami sa amin ang nakakaranas ng pananakot at panggigipit mula sa mga malalaking barko ng China (This is a message to our dear President Ferdinand ‘Bongbong’ Marcos Jr., from fishermen of Masinloc Zambales who are hungry and can’t catch enough fish in ​​the West Philippine Sea. Every time we sail, many of us experience intimidation and pressure from the big Chinese vessels),” Conde said. “Dinadaan kami sa takot gamit ang malalaking missiles. Araw-araw ganito kahirap ang sitwasyon naming mga mangingisda. Tulungan niyo po kami dahil gutom na kaming mga mangingisda ng Masinloc, (We are being terrorized with huge missiles. Every day, fishermen experience this difficult situation. Please help us because we, Masinloc fishermen, are hungry),” Conde added. Conde appealed to the current administration for livelihood support. He said that many small-scale fishers are abandoning their livelihood and seeking other jobs to ease their hunger. “Sana po ay supportahan niyo kami gaya ng pagsuporta namin sa inyo, pakinggan niyo po kami at ang aming mga hinaing (I hope you will support us just as we supported you. Please listen to us and our grievances) ” Conde pleaded to President Marcos. Flory Azucena, 45, whose husband and brother were also fishermen in the West Philippine Sea, said their livelihood capital is often not returned because of gasoline price hikes and the Chinese vessels that threaten fisherfolk. She also said the price of their caught fish only ranges from P30 to P40 per kilo. “Lugi sila kasi minsan hindi pa po sapat sa krudo. Nagkusa na po ako dito kasi kasi may hinaing ang asawa at kapatid ko para naman mapangkinggan kami. Malayo po sila dito kaya ako ang nandito para ipanawagan na sana malaya na silang makapaghanapbuhay (They lose money because sometimes they don’t have enough income even for gasoline. I am here to represent them because my husband and brother are far from here, so I am here on their behalf to fight for their right to livelihood),” Azucena said. Atin Ang Pilipinas coalition also emphasized that the Marcos administration should be consistent in its dealings with China regarding the fishermen’s rights. The fisherfolk also lifted a fishing boat as a symbol of Masinloc fishermen’s suffering and grievances.",0
Manila Bulletin,"Members of the Northern Police District-District Drug Enforcement Unit (NPD-DDEU) and the Caloocan City Police Station (CCPS) seized a total of P442,000 worth of alleged shabu from three suspects, two of them women, in two separate buy-bust operations held in Caloocan City on Wednesday, Nov. 23. Lt. Col. Renato Castillo, NPD-DDEU chief, identified the suspects as Nora Eleazar, 51, and Jayson Villahermosa, 34, both from Barangay 120, Caloocan City. Police launched the entrapment against the suspects in Alley 8, 2nd Avenue, Brgy. 120 at around 12:05 a.m. on Wednesday, and confiscated five plastic sachets containing around 40 grams of shabu worth P272,000, the but-bust money, and a cigarette box. Meanwhile, the CCPS Station Drug Enforcement Unit (SDEU) arrested the third suspect, Ana Belen, 30, also from Barangay 120, Caloocan City, in another buy-bust operation conducted along Julian Felipe Street, Brgy. 8, in the city at around 6 a.m. on the same day. Belen yielded five plastic sachets with 25 grams of alleged shabu worth P170,000, the buy bust money, and a black coin purse. The confiscated alleged illegal drugs from the three suspects were brought to the offices of the arresting units. The suspects will be charged for violation of Republic Act 9165 or the Comprehensive Dangerous Drugs Act of 2002, police said.",0
Manila Bulletin,Secretary of Foreign Affairs Enrique Manalo said the Philippines has sent a note verbale to China following the clash between government troops and the Chinese Coast Guard near Pag-asa Island in Palawan. | via Balita,0
Manila Bulletin,"CAMP RAFAEL C. RODRIGUEZ, Butuan City – A top official of Caraga Police Regional Office 13 (PRO 13) on Wednesday, Nov. 23, claimed that the government is winning in its fight against the Communist Party of the Philippines-New People’s Army (CPP-NPA) in all fronts in Northeastern Mindanao. “Their (CPP-NPA) lost mass-base and the continuous surrender and arrest of their officials, arm regulars, supporters and followers are the basis that the government is already strategically winning,” stressed PRO 13 Regional Director P/Brig. Gen. Pablo G. Labra ll during the 1st Meet The Press Forum held at the PRO 13 Regional Command Multi-Purpose Building here on Wednesday, Nov. 23. “The unified effort, close coordination and focus of military and police operations also led to the dismantling of guerilla fronts, while all-out support of all local government units and line agencies also led the successful operation of the government’s peace and development program,” the top police official in the Caraga region pointed out.From January this year to Nov. 23, about 128 CPP-NPA members were already arrested and 412 voluntarily surrendered to the different units spread in the five provinces and six cities of Northeastern Mindanao, the military said. Just recently, three CPP-NPA members were arrested and another 17 Communist Terrorist Group (CTG) members also surrendered with six small weapons and bomb-making materials including 10 explosives surrendered to various police units in the region, the regional command of PRO 13 also reported. The number one most wanted CTG member on the list of PRO 13, with seven standing warrants of arrest, was also arrested during a joint manhunt operation at Purok 1, Barangay Diego Silang here. In the same forum, Brig. Gen. Labra announced the additional deployment of police forces in various areas in the region, particularly in urban areas in an objective to maintain peace and harmony during the celebration of the ‘Yuletide Season.’Meanwhile, Gen. Labra lauded the men and women of Philippine National Police Caraga for the remarkable accomplishments during the region-wide Simultaneous Anti-Criminality Law Enforcement Operations (SACLEO) last week. The top police official in the region averred that with the intensified anti-criminality campaign and peacekeeping efforts of Caraga cops, the one-day SACLEO led to the apprehension of 299 law violators comprising high-ranking wanted persons, other wanted persons, drug personalities and CTG members. Based on the consolidated data from the PRO 13 Regional Operations Division (ROD), Surigao del Sur Provincial Police Office (PPO) topped in accomplishments on the campaign against illegal drugs with six drug personalities arrested, and in illegal logging with one arrested and P64,920 worth of hot logs confiscated. The Surigao PPO also apprehended 47 violators in fishing, with 50 wanted persons arrested. On the other hand, Agusan del Norte PPO topped in the campaign against illegal gambling with 16 persons arrested and four suspects arrested over possession of loose firearms. Dinagat Islands PPO, Surigao del Norte PPO, Butuan City Police Office (BCPO), Agusan del Sur PPO, Regional Mobile Force Battalion 13, Regional Intelligence Unit, Regional Intelligence Division, and Criminal Investigation and Detection Group also significantly contributed to the overall success of the region-wide accomplishments of PNP Caraga. “I commend all Caraga cops for showing strong commitment and dedication in performing the job as law enforcers. But the work doesn’t end there,” said Gen. Labra. “We will continue our aggressive anti-criminality and anti-insurgency campaign, supported by our more improved Police-Community Relations activities, to ensure peace and order in the region,” stated General Labra.",0
Manila Bulletin,"The National Bureau of Investigation (NBI) is set to submit to the Department of Justice (DOJ) additional evidence on the two murder complaints filed against suspended Bureau of Corrections (BuCor) Director General Gerald Q. Bantag and several other respondents. Senior Assistant State Prosecutor Charlie L. Guhit, a member of the panel of prosecutors conducting the preliminary investigation of the complaints, said the submission of additional evidence was manifested by the NBI on Wednesday, Nov. 23. In a press briefer, Guhit said: “The NBI manifested that it will file supplemental evidence. The Panel directed the NBI to furnish all the respondents the copies of supplemental evidence five (5) days before the next hearing” set on Dec. 5. Bantag, BuCor Deputy Security Officer Ricardo S. Zulueta, and several persons deprived of liberty (PDLs) were charged with murder for the deaths of radio commentator Percival “Percy Lapid” C. Mabasa and inmate Cristito Villamor Palana, who was identified by self-confessed gunman Joel S. Escorial as the alleged middleman in the broadcaster’s slaying last Oct. 3. During the first hearing on Wednesday, Nov. 23, Guhit said that “counsels for the PDLs manifested that their clients will either re-affirm their respective affidavits or submit counter-affidavits in the next scheduled hearing.” During the hearing, Bantag’s counsel, Rocky Balisong, pointed out the mistake in the subpoena issued to his client by the panel of prosecutors. Balisong told the panel that the name written in the subpoena is that of “Gerald Bantag y Soriano” and not the name of his client, Gerald Bantag y Quitaleg. In the same press briefer, Guhit said: “Counsel for DG Bantag, Atty. Balisong, raised an issue on the subpoena issued to DG Bantag because his middle name is not properly stated but this issue was addressed by the Panel during the hearing.” Guhit noted that during the hearing “another subpoena was issued by the Panel and was accordingly received by Atty. Balisong.” “Moreover, he (Balisong) manifested that all orders of the Panel may be addressed to his law office in Baguio City,” Guhit said.",0
Manila Bulletin,"At least six members of the New People’s Army were killed and several firearms were seized in an encounter with the 803rd Army Brigade in Las Navas, Northern Samar on Wednesday, Nov. 23.",0
Manila Bulletin,"The Department of Finance (DOF) has vowed to resolve the complicated military and uniformed personnel (MUP) retirement and pension system that continues to take a heavy toll on the government’s yearly budget. Finance Secretary Benjamin E. Diokno said on Wednesday, Nov. 23, that the MUP pension scheme remains a fiscal risk, which the national government cannot no longer afford to just ignore. “That’s the elephant in the room. I always say that. Right now, it is I think P120 billion in the current 2023 budget proposal and that would continue to balloon unless we will address that issue,” Diokno said during his confirmation hearing at the Senate. Reforms in the MUP pension scheme was one of the proposals that the Duterte administration had wanted the Marcos administration to seriously consider. According to the DOF, the the government was spending around P114 billion per year to fund the MUP pension, a hefty and unsustainable amount for the state with a ballooning debt load. The current MUP pension system is non-contributory, hence retirement pensions and benefits are fully funded by the national government through annual appropriations. Diokno said the Marcos administration wants the Government Service Insurance System (GSIS), a state-owned firm handling the pension of all government workers, to assume management of the MUP. However, Diokno said the military and uniformed personnel funds should not commingle with GSIS’ existing coffers and should be contributory in nature, especially among new entrants. “If the military pension will be covered by the GSIS… There will be civilian component and a military component,” the finance chief explained. However, Diokno said “we have to respect what has already been committed to those who have retired. So, from now on after the military pension bill was passed, those who will enter, those who are in active service will contribute.” Last July, Jose Arnulfo “Wick” Veloso, GSIS president and general manager, said pension fund was open to cooperate with the national government in instituting reforms in the MUP pension scheme. According to a GSIS actuarial study, the current system entails a total funding requirement estimated at P9.6 trillion. This amount covers the future obligations pertaining to active members and current pensioners of the MUP. If the current system prevails, the national government will be required to allocate around P850 billion to MUP pensions annually for the next 20 years.",0
