,Text,Label
0,president ferdinand  bongbong  marcos jr  has instructed the department of health  doh  to look into issues affecting the benefits of health workers in the country  the health agency s officer in charge  oic  ma  rosario vergeire said friday  vergeire said that as oic of the doh  one of her priorities  aside from the government s covid  vaccination drive and pandemic response  is to look into the issue of healthcare workers  benefits     as we have said yesterday  part our priorities  and as instructed by the president  that we look into these issues that had been hounding the benefits of the health workers   vergeire said in an interview with abs cbn news channel   we are planning to start discussing these with the healthcare workers and of course looking at our implementing units  looking at the challenges and how we can be able to address this to facilitate the release of the benefits   she added  vergeire said she will pursue additional funding for the benefits of healthcare workers as she admitted that funds for the said program are  lacking   vergeire added that there are also funds that have been downloaded to the doh s centers of health development for the benefits of healthcare workers   we have also already mentioned during our talk with the president about two weeks ago that this is part of the priority of the department because we still lack funds so we can be able to pursue and continue this provision of funds for our healthcare worker benefits   vergeire said   kailangan lang ng additional funds para makumpleto natin at maibigay natin sa healthcare workers  we re going to pursue this   she added   we need additional funds so we can complete and release the benefits for the healthcare workers   according to her  there will be meetings with health care workers to discuss  minor things   including requirements that need to be met by heads of health facilities for the release of the funds   the issues would really be transactional compliance to requirements  some would be that there would be this non signing of the memorandum of agreement if it s a private hospital  the liquidation of the previous funds that were given to them   vergeire said   they have to do that because we are in government and we have to follow the rules and regulations set for these auditing rules   she added   ,0
1,the senate wants the philippines represented by the best team it can produce   second  we are here to support in whatever capacity we can be it through legislation or funding and  third  that we have programs for the development of our basketball and sports programs      these were stressed by senate majority leader joel villanueva during the organizational meeting of the senate sports committee chaired by senator christopher   bong   go    we are here to support our athletes  coaches  our national sports association and the psc  philippine sport commission  we are not here to meddle with negotiations    villanueva pointed out  the committee was briefed by the philippine sports commission  psc  and the games amusement board  gab  on the current situation of the amateur and professional sports in the country  villanueva said he finished his education because of basketball  having played for the national capital region in the palarong pambansa    he was also a player of the university of santo tomas  ust  basketball team which won the university athletic association of the philippines  uaap  championship and represented the philippines twice in international competitions  in today s briefing  psc chairperson jose emmanuel  noli  m  eala presented the agency s strategic directions for the next five years  eala specified six strategic directions    sports governance    sports awareness    sports accessibility      sports facilities development    sports linkages  and   high performance sports development   we hope that through all these initiatives we can continue to bring pride and glory to our country through the victories of our elite athletes  and also we hope to create more pathways for success for all of our people so that they may be involved in sports and help in our country s nation building efforts   eala said   ,0
2,dilawan influencer francis baraan iv was shitting on the  salamatprrd on twitter after quirino grandstand event trended by asking the duterte supporters for what reasons we are thankful to prrd  for the ejks  for normalizing misogyny  for jailing dissenters  for the lies and fake news  without leni  it would have been unbearable  years  hence  we should be thankful to leni robredo not duterte  baraan tweeted  baraan s viral tweet did not fail to atrract the attention of pro duterte social media influencer of the manila bulletin krizette laureta chu who retaliated with her own wicked response to baraan s swipe at prrd on twitter  chu replied that the only reason the dds are thanking prrd is that he did not shit on his bed in malacanang in the last  years  meanwhile  there are those who shit on their bed even if they slept on it for one night  she clarified though that her swipe that prrd did not shit on his malacanang bed but somebody did is not politics related  the only reason nagpapasalamat kami kay prrd is di sya nag iwan ng tae sa kama nya sa malacanang for the entire  years  yung iba one night only pero nag iiwan ng tae sa kama  yun lang  not politics related  baraan wasted no time in replying to krizette s fb post and commented on the thread  krizzy  you crack me up  for someone who is supposed to be a bonafide journalist  you seem to have a proclivity for parroting the fake news started by actual fake news peddlers  lol  hilarious  chu replied to baraan s comment and denied she was peddling fake news about prrd not shitting all over his bed  she also chided baraan for telling her what to do while accusing baraan of just being jealous  she turned the table around and dared baraan to organize salamat leni and use his own money  francis baraan iv what s fake news here  franky  i m just saying we re just happy he didn t sh t all over his bed  by the way  bakit ka pala nakiki alam sa effort ko sa salamat prrd  bakit hindi ka nalang gumawa ng salamat leni  bakit  dapat pasalamatan si leni   who are you to tell me who to thank  if i want to thank him and not leni  what s it to you  is this government funded  can you prove that the government spent for the event  your dad made more money than my dad i m very sure of it so why not spend your own money to thank who you want to thank instead of asking why we think duterte deserves to be thanked  sino ka naman para maging accountable kami sayo  for someone who s supposedly educated  you re ignorant  and inggitero  your parents didn t raise you well  maybe they were busy with other things  ,1
3,the department of agriculture  da  has expanded the distribution of fuel subsidies to benefit more agricultural producers amid rising pump prices   the program will therefore cover all farm machinery with attached engine  that is being used for crop production as well as motorized banca  all farm machinery enrolled under the program should have proof of ownership   the da said in a memo signed by agriculture undersecretary and chief of staff leocadio sebastian    all concerned da offices  including the sugar regulatory administration  national tobacco administration  philippine coconut authority  philippine fiber industry development authority  and philippine center for post harvest development and mechanization that distribute farm machinery were tasked to submit a master list of eligible recipients and corresponding machinery to regional field offices  they were also directed to coordinate with local governments to conduct information dissemination  fast track validation and encoding of eligible beneficiaries in the registry systems  generate the final list of beneficiaries  and distribute cash cards to eligible participants    discount beneficiaries under the subsidy program are entitled to a  percent fuel discount  or a maximum of   per farmer or fisher  upon the purchase of gasoline or diesel from designated or contracted gas stations  the discount cards will be issued by the da in partnership with the development bank of the philippines  in march  the da issued guidelines on providing fuel discounts to all registered corn farmers and fishermen to cushion the impact of higher fuel prices that had been aggravated by the russia ukraine conflict the initial budget of  million for the initiative was later increased to   billion to benefit corn farmers using machines for production and preparation  post harvest activities  and fisherfolk using motorized boats for fishing   ,0
4,manila bulletin writer krizette laureta chu cannot pass up the opportunity to poke fun at the supporters of a presidential aspirant who was mocking bbm on social media for declining the interview with jessica soho because he thinks she s biased  but  hours later  the supporters of the presidential aspirant are defending with all their might why their bet declined an interview with dzrh because one of the radio hosts is biased against leni  netizens who stumbled upon chu s post had a field day heckling the supporters of the presidential aspirant as shown in the comments below  what goes around  comes around nmn daw ksi time to shine p nmn sana un for mama nila  dun mtetest sana ung infallible intelligence nya  ok mga kakampink sabay sabay  defense defense defense defense defense bilib na bilib na talaga ako sa mga dilawan mula noon at hanggang ngayon lahat ng binabato nila kusang bumabalik sakanila    plus  they re saying it s a complete waste of time lang daw naman  and let s wait for official statement muna daw before we judge  for sure daw may valid reason  hindi dw kalevel ng jessica soho ang dzrh hahaha mas credible dw ang gma kesa isa kaya ayaw ni mama sabi nung alipores nya hahaha now they re forced to eat their own vomit   biased naman kasi talaga kasi walang script at live kawawa naman si  tag mother  nyo baka hiwalayan na ng utak nya  as of this writing  chu s post has been generating a lot of engagement from netizens  eliciting    reactions   comments and  shares in just  hour and counting  you may now read chu s original fb post below  hind nag pa interview si bbm kay jessica soho kasi he thinks she s biased  the kakampinks mocked him   the questions are hard because the presidency is hard   sabi nga nila  true naman  tapos ngayon sila mismo nagsasabi na ok lang na hindi magpa interview si leni kay contreras sa dzrh kasi biased naman daw si contreras at lagi daw niya inaatake si leni  aringkingkingking  aringkingking ,1
5,icymi  former ntf elcac lorraine marie badoy is in hot water for allegedly issuing a threatening statement against a manila rtc judge after the latter junked the petition filed by the duterte admin asking the court to declare the cpp npa terrorist organization  the brouhaha requires the supreme court to step in and threaten anyone who will continue to incite violence against the judges and their families with contempt of court  prompting manila bulletin writer krizette chu to write an open letter imploring the current ntf elcac to make a loud statement on the issue  manila bulletin writer krizette laureta chu opened the brief open letter by giving the current ntf elcac a heads up that supporters of the commies are asking for the abolition of their department and also a judge has ruled against the government petition to declare the said organization  terrorist group   ms  chu asked the current ntf elcac to make a loud statement  a big noise against the cpp npa and tge court decision  issuing statement on fb and memos is not acceptable to her  ms  chu lamented that the former ntf elcac spokesperson who is without security detail and no longer in power is being attacked  why  despite being not in power  she continues to speak out against the cpp npa because she hates them so much after knowing the crimes committed by the npa  ms  chu implored to the current ntf elcac to make their presence felt to the taxpayers by showing their fangs  otherwise  they must inform the president asap that they are scared to make the job of the president easier  you may now read ms  krizette laureta chu s original fb post below  dear current ntf elcac  pinapa abolish ng mga commie supporters ang departamento nyo at ayaw tawagin ng judge na terrorista ang mga kalaban nyo  mag ingay naman kayo ng bongga  wag naman yung pa statement statement lang sa fb at pa memo memo lang  si lorraine badoy na walang security at wala sa kapangyarihan inaatake na  kasi hindi sya tumitigil dahil galit na galit sya dahil alam nya at nakita nya the crimes done by the npa  iparamdam nyo naman sa amin na mga taxpayer yung pangil ninyo  if hindi nyo kaya sabihin nyo agad sa presidente para ma pagaan ang trabaho nya  ,1
6,a volunteer of the leni robredo kiko pangilinan campaign team was charged with trespassing during a house to house sortie in barangay kalabasa in quezon city  campaign volunteers usually knock on doors or ring the door bell to ask permission to enter private property and perform their campaign mission  alas  a pink clad volunteer braved a steep climb to a house  courageously navigating its wooden  makeshift ladder  there was no door to knock on or door bell to ring  when she finally reached the top of the ladder  not only did she find out that the household members living there were solid bbm  bongbong marcos  supporters   she was also charged with trespassing before the office of the barangay tanod  nevertheless  the volunteer received a commendation from the office of the vice president   ,1
7,nanawagan ang palasyo ng malakanyang sa publiko na magkaisa para tuluyang maghilom ang bansa sa ingay sa pulitika  ginawa ng palasyo ng malakanyang dalawang araw matapos ang eleksyon kung saan nangunguna si dating senador ferdinand  bongbong  marcos jr  sa pagka pangulo at davao city mayor sara duterte sa pagka bise presidente  ayon kay acting presidential spokesman martin andanar  binabati ng palasyo ang mga nanalo sa nakaraang eleksyon   the filipino people have spoken and now is the time to heal and unite as one nation and one people   pahayag ni andanar  sinabi pa ni andanar na ang katatapos na eleksyon ay pagpapakita na buhay ang demokrasya sa bansa   as we wait for the official and final results  we have to underscore that this year s political exercise is a showcase of the strength of our democratic system and institutions  further  the high voter turnout is evidence of the growing political interest and maturity of our people   pahayag ni andanar   we congratulate everyone for their cooperation in ensuring the  national and local elections are generally peaceful and orderly   pahayag ni andanar   ,0
8,hindi tinantanan ni senator raffy tulfo ang mga opisyal ng department of energy  doe  sa nagpapatuloy na insidente ng pagkawala ng suplay ng kuryente   sa pagdinig ng pinamumunuan niyang committee on energy inusisa ng senador kung magpapatuloy ang pagpapalabas ng red at yellow warnings dahil sa manipis na suplay ng kuryente  kamakalawa  nagpalabas ng red at yellow warnings kasunod nang pagbagsak ng pitong power plants   because when you  issue red and yellow warning alerts  it really alarms the public  especially the businesses  they have to be ready for the brownouts that may happen because these may affect their operations and of course  it may also affect the households as well  what is the status of your on going monitoring   tanong ni tulfo  ibinahagi naman ni energy asec  mario marasigan na nagsasagawa sila ng regular na monitoring sa lahat ng system operations na may kinalaman sa sektor ng enerhiya  dagdag pa niya na kabilang sa kanilang daily monitoring ang mga planta ng kuryente   should there be instances like what happened last sunday  the doe is monitoring it more closely  if we need to call the power plant  we call them on the spot  we don t wait for the report   sabi pa nito  ,0
9,hinimok ni pangulong ferdinand marcos jr  ang mga pilipino na tularan ang ipinakitang pagmamahal at katapatan sa bansa tulad ng ipinakitang pagmamahal ng mga bayani  sa kaniyang talumpati sa ika  anibersaryo ng kapanganakan ni andres bonifacio sa caloocan city  sinabi ng pangulo na ang paggunita sa alala ni gat andres bonifacio at iba pang mga bayani ay mahalaga upang pagyamanin at maunawaan ang kasaysayan ng bansa  ipinaglaban aniya ni bonifacio ang kaniyang paninindigan at hinarap ang mga dayuhang mananakop at ipinamalas ang katapangan para sa interes ng bayan   hinikayat ko ang aking kapwa pilipino na patuloy na parangalan si bonifacio at ang lahat ng mga bayaning pilipino  kilala man o hindi na nag alay ng kanilang buhay upang matiyak ang kalayaan at pagkakilanlan na siyang ipinagmamalaki natin ngayon   saad ng pangulo  sinabi ng presidente na tungkulin ng mamamayan na panatilihing buhay ang diwa ng mga ipinaglaban ng mga bayani upang matiyak na mapayapa  malaya at masagana ang sambayanan  magagawa aniya ito ng dahil makakatuwang ng mamamayan ang mga makabagong bayani ng bansa gaya ng mga doktor  nurses  sundalo  pulis  mga overseas filipino worker at mga ordinaryong mamamayan   kaya naman sikapin natin na maging pinakamahusay na uri ng ating mga sarili  na maging pilipino  na ang katapatan at pagmamahal sa bayan ay kaparis ng ating mga bayani tulad ni gat andres   dagdag ng pangulo  hangad ni pangulong marcos jr  na magtagumpay ang bawat pilipino sa kanilang hangarin at sama samang harapin ang mga hamon ng bagong panahon na may pagmamahal sa bayan  determinasyon  tapang at karangalan upang maitaguyod at maipagmalaki ang pilipinas   ,0
10,galing mismo kay  bbm na kasama siya sa nakawan ni senior  marcosmagnanakaw in   ferdinand marcos jr  went after lucio tan s wealth  claiming that the marcoses own   of the tycoon s fortune  here are excerpts from his testimony in the sandiganbayan  august     this shows that the son knew of the late father s source of ill gotten riches  marcos jr   i remember that at one point  i was summoned by my father to his office and he was there with mr  lucio tan in the discussion  and he told me that he would like me to familiarize myself with the operations of some of the enterprises that we have interests in and that mr  lucio tan was going to help me to be more familiar with the said operations  q  why did your father summon you to his office to familiarize yourself with the business interests of the marcoses  marcos jr  it was part of a larger effort on the part of the family to really clarify and to conduct an inventory and legal audit of all those business interests that we have  my sister  imee  who has the legal training  was given the job of conducting the legal audit  and i was given the job to go to as many of these enterprises as i could and as i said  learn the operations and meet the people who were running them so that when the time comes that we would take over  we would know how to manage these different interests  q  and what was the condition of your father when he summoned you to his office  marcos jr   when we first began this effort  he had me and my sister  we met and we sat down and he showed us some documents which are essentially deeds of assignment  shares of stock  titles to properties  and all these kinds of things  and he tried to give us a sketch of exactly how the structures were  and then his instructions to us were we go out and make sure that first  all documentations were in place because maybe the documents or something were in some persons to really reorganize them and collate everything we had several of those meetings and that was when i saw these documents  at the time  he was still quite strong  but then  he was starting to feel the effects of his kidney disease  perhaps  even that has a factor in his wanting us to know the family s interests  q  what happened after that meeting with your father and defendant lucio tan  marcos jr   at the end of the meeting  lucio tan and i talked and discussed the possibility of having a meeting  just the two of us  q  was there any occasion for your father to show proof of the family s interests in lucio tan  marcos jr  we have copies of some of them  but the originals were no longer with us  they are with the us magistrates of customs because these are the documents that we brought to hawaii and were taken by the americans  q  let us go back to the instance where you had substantial discussion with defendant lucio tan  where did it take place  marcos jr   the first time that we actually sat down and talked of anything substantive was in my father s office  subsequently  i received a message from mr  lucio tan s office that he would ask me to him at his office in allied bank  that is about a week or fortnight after i was summoned by my father  q  what did you discuss with him in that meeting  marcos jr  he laid out the ownership structure of the different corporations that we had interest in  q  did he tell you what those corporations are  marcos jr  yes  he actually drew out a diagram  a piece of paper  explaining that there was a company  shareholdings inc   which was a holding corporation for several other corporations  i will try to remember them all foremost farms  fortune tobacco  asia brewery  himmel industries  grandspan  dominion    and the ownership of shareholdings inc  was divided at least initially between three other companies  basic  supreme and falcon there are documents to show deeds of sale of shareholdings  inc  to the three companies this was relevant to us because we held the shares of stock in falcon and supreme which were with us  endorsed in blank   the last time i sat down with him  and talked to him was early   i remember that because i was in the middle of a campaign  and it was in the residence of the late louie tabuena  we were just having a conversation  and the tenor of mr  tan s comments were to express his anger at mr  rolly gapud  he kept saying  i don t like that rolly gapud because he is trying to say that i am a crony and i am not because i have never been part of this and that  q  what happened after that meeting  marcos jr  well  on the way out  one of his people gave me a check for a million pesos and said that is to help in my campaign  q  and what did you do with the check  marcos jr   i was very upset  i tore the check up to the disgust of my wife  q  what was the reaction to tat statement of defendant lucio tan  marcos jr  i was shocked for him to say such things because in our meetings and with discussions with my father i turned to him and said  you seem to have forgotten that many of the agreements and promises that have been made in the past   at which point the tension in the air was palpable  and there was not much conversation after that  ,1
11,bakit nga ba mahalaga ang btms  ano ang papel na gagampanan nito sa ating pamahalaan  sa kanyang message sa pagsumite ng executive branch ng  national budget sa kongreso noong agosto  binigyang diin ni pangulong ferdinand r  marcos jr  ang kahalagahan ng budget and treasury management system o btms   saad ng pangulo  ang btms ang magsisilbing single website kung saan pwedeng i monitor ang lahat ng government financial transactions real time   ayon pa kay pangulong marcos jr   bukod sa  layunin ng sistema na gawing efficient at transparent ang ating budget and resource management  ang mga solid data na makakalap mula sa btms ay magsisilbing daan upang maging informed ang mga desisyon ng pamahalaan  at sa huli y magbibigay ng mas secure at seamless na access sa mga serbisyo publiko    usapangbudget  ,1
